developer,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01
dev_pj,0,0,0,1,0,0,0,0,0,0,0,0
dev_jeojoe,0,0,0,0,0,0,0,0,0,0,1,0
dev_KrisGerhard,0,1,0,0,0,0,0,0,0,0,0,0
dev_linden-dg,0,0,0,0,0,0,0,0,0,0,1,0
dev_rinku-k,0,0,0,0,0,0,0,0,1,0,0,0
dev_MonsterAnan,0,0,0,0,0,0,0,0,0,0,0,5
dev_Legys,0,0,1,0,0,0,0,0,0,0,0,0
dev_ammarahm-ed,0,0,0,0,0,1,0,0,0,0,0,0
dev_SimenB,0,0,2,7,44,0,0,0,7,5,22,0
dev_adelin-b,0,0,0,0,0,1,0,0,0,0,0,0
dev_dpc,0,0,3,0,0,0,0,0,0,0,0,0
dev_edwardofclt,0,0,0,0,0,0,0,0,0,0,0,1
dev_TheWirv,0,3,1,0,0,0,0,2,0,0,0,1
dev_johnhunter,0,0,0,0,1,0,0,0,0,0,0,0
dev_Heatmanofurioso,0,1,0,0,0,0,2,0,0,0,0,0
dev_tniessen,0,0,0,0,0,0,0,1,0,0,0,0
dev_deepakthankachan,0,0,0,0,0,0,2,0,0,0,0,0
dev_galgord,0,0,0,0,0,0,0,0,1,0,0,0
dev_uranium93,0,0,0,0,0,0,0,0,0,1,0,0
dev_RaisinTen,0,0,0,0,0,0,0,0,0,0,0,1
dev_kimkong88,0,0,0,0,0,0,0,0,0,0,1,0
dev_drortirosh,0,0,1,0,0,0,0,0,0,0,0,0
dev_yhlchao,0,0,0,1,0,0,0,0,0,0,0,0
dev_Humad,0,0,0,0,0,0,0,0,0,2,0,0
dev_krutoo,0,1,0,0,0,0,0,0,0,0,0,0
dev_rennehir,0,0,1,0,0,0,0,0,0,0,0,0
dev_sgup,0,0,0,0,0,0,0,0,0,0,1,0
dev_gogul-ct,0,0,0,1,0,0,0,0,0,0,0,0
dev_myckhel,0,0,0,0,0,0,0,0,0,0,0,1
dev_OmriYaHoo,1,0,0,0,0,0,0,0,0,0,0,0
dev_michalens,0,0,0,1,0,0,0,0,0,0,0,0
dev_akd-io,0,0,0,0,0,0,2,0,0,0,0,0
dev_qafoori,0,0,0,0,0,1,0,0,0,0,0,0
dev_zaneclaes,0,0,0,0,0,2,0,0,0,0,0,0
dev_fearphage,0,0,0,0,0,1,0,0,0,0,0,0
dev_cosmikwolf,0,0,0,0,0,1,0,0,0,0,0,0
dev_richardeschloss,0,0,0,0,0,0,0,0,0,0,1,0
dev_FrancescoMussi,0,0,0,0,0,0,0,0,0,0,0,1
dev_donatoaguirre24,0,2,0,0,0,0,0,0,0,0,0,0
dev_marcesdan,0,0,0,2,0,0,0,0,0,0,0,0
dev_claudiozam,0,0,0,0,0,0,0,1,0,0,0,0
dev_donnisnoni,0,1,0,0,0,0,0,0,0,0,0,0
dev_lucipacurar,1,0,0,0,0,0,0,0,0,0,0,0
dev_Torokhov,0,0,0,4,0,0,0,0,0,0,0,0
dev_ghermeto,0,0,0,5,0,0,5,0,0,0,0,0
dev_thislooksfun,0,0,0,1,0,0,1,0,0,0,0,0
dev_jonasdd,0,0,0,0,1,0,0,0,0,0,0,0
dev_olier,0,0,0,0,0,0,0,0,0,0,2,0
dev_sumitparakh,0,0,0,0,0,0,0,0,0,0,0,1
dev_antoniosb,0,0,0,0,0,1,0,0,0,0,0,0
dev_JaydenGui,0,0,0,0,0,0,2,0,0,0,0,0
dev_scousino,0,0,0,0,0,0,0,0,1,0,0,0
dev_benjamin-hodgson,0,0,0,0,0,0,0,0,0,7,7,0
dev_surfer19,0,0,0,0,0,0,0,0,0,0,1,0
dev_tsapeta,0,1,0,0,0,0,0,0,0,0,0,0
dev_skhaz,0,0,0,0,0,0,0,0,4,0,1,0
dev_pauldraper,0,0,0,0,0,0,0,0,0,0,1,0
dev_aardrian,0,0,0,0,0,0,0,0,0,1,0,0
dev_mikevercoelen,0,0,2,0,0,0,0,0,0,0,0,0
dev_Manik-ibm,0,0,0,0,0,0,0,0,0,0,1,0
dev_akxcv,0,0,0,0,1,0,0,0,0,0,0,0
dev_corny,1,0,0,0,0,0,0,0,0,0,0,0
dev_dholms,0,0,5,1,1,0,0,0,0,0,0,0
dev_michaelyohanes,0,0,1,0,0,0,0,0,0,0,0,0
dev_MickL,0,0,0,0,0,0,0,0,0,0,1,0
dev_bennett-slalom,0,0,0,1,0,0,0,0,0,0,0,0
dev_VernonHawk,0,0,0,0,0,0,0,0,0,0,0,1
dev_notaphplover,0,0,2,0,0,0,0,0,0,0,0,0
dev_b-m-f,0,0,1,0,0,0,0,0,0,0,0,0
dev_alexgleason,0,0,0,0,0,0,2,0,0,0,0,0
dev_Peredery,0,0,0,0,0,0,0,1,1,0,0,0
dev_Andarius,0,0,0,2,0,0,1,0,0,0,0,0
dev_khanveerr,0,0,1,0,0,0,0,0,0,0,0,0
dev_parreirat,1,0,0,0,0,0,0,0,0,0,0,0
dev_qapla47,3,0,0,0,0,0,0,0,0,0,0,0
dev_ddsultan,0,0,1,0,0,0,0,0,0,0,0,0
dev_ashishsiddhu,0,0,0,0,0,0,1,0,0,0,0,0
dev_kneza23,0,0,1,0,0,0,0,0,0,0,0,0
dev_2RajShaikh,0,0,0,2,0,0,0,0,0,0,0,0
dev_xeladejo,0,0,0,1,0,0,0,0,0,0,0,0
dev_Yash-Singh1,0,0,0,0,0,0,0,0,0,0,1,1
dev_Beenhakker,1,0,2,0,0,0,0,0,0,0,0,0
dev_DanielMarkiel,0,0,2,0,0,0,0,0,0,0,0,0
dev_Avrmaster,0,1,0,0,0,0,0,0,0,0,0,0
dev_Arkan4ik,0,0,0,0,0,0,0,0,0,0,0,1
dev_ukstv,0,0,5,0,0,0,0,0,0,0,0,0
dev_pavelbabenko,0,0,0,0,1,0,0,0,0,0,0,0
dev_mattjis,0,0,0,0,1,0,0,0,0,0,0,0
dev_PierrickP,4,0,0,0,0,0,0,0,1,0,0,0
dev_brysonreece,0,0,0,0,0,0,0,1,0,0,0,0
dev_clickwithclark,0,0,0,0,0,0,0,0,0,0,1,0
dev_GautierArcin,0,0,0,0,0,0,1,0,0,0,0,0
dev_eunjae-lee,0,0,0,0,0,0,3,0,0,0,0,0
dev_HeroBanana,0,0,0,0,0,0,0,0,0,0,0,5
dev_cupidchan,1,0,0,0,0,0,0,0,0,0,0,0
dev_alexolivas,1,0,0,0,0,0,0,0,0,0,0,0
dev_Fcguedes,0,0,2,0,0,0,0,0,0,0,0,0
dev_HonkingGoose,0,0,0,0,0,0,6,0,0,0,0,0
dev_WvanDam,0,0,0,0,0,0,0,0,0,0,1,0
dev_nenadfilipovic,0,4,0,0,0,0,0,0,0,0,0,0
dev_kadiraydinli,1,0,0,0,0,0,0,0,0,0,0,0
dev_yfunk,0,9,4,0,0,1,0,0,8,1,0,0
dev_jakobwak,0,0,0,1,0,0,0,0,0,0,0,0
dev_fenying,0,0,0,0,0,1,0,0,0,0,0,0
dev_will-yijinin,0,0,0,0,0,0,6,0,0,0,5,0
dev_viis233,0,0,0,0,0,0,0,0,0,0,0,1
dev_papuruth,0,0,0,0,0,0,1,0,0,0,0,0
dev_LeeMingDe,0,0,0,0,0,0,0,1,0,0,0,0
dev_planttheidea,0,0,0,3,12,0,0,11,6,0,0,0
dev_thedaviddias,0,0,0,0,0,2,0,0,0,0,0,0
dev_gdoudeng,0,0,0,0,0,3,1,0,0,0,0,0
dev_mmcxii,0,2,0,0,0,0,0,0,1,0,0,0
dev_ranisalt,0,0,0,0,0,0,1,0,0,0,0,0
dev_julian-weinert,0,0,0,0,0,0,0,0,0,0,1,0
dev_rdmeal,0,0,0,1,0,0,0,0,0,0,0,0
dev_zacard-orc,0,2,0,0,0,0,0,0,0,0,1,0
dev_hsk-kr,0,0,0,1,2,0,0,0,0,0,0,0
dev_SALIHAdataonline,0,0,0,0,0,1,0,0,0,0,0,0
dev_lamka02sk,0,0,0,0,0,0,1,0,0,0,0,0
dev_srfaytkn,0,0,0,1,0,0,0,0,0,0,0,0
dev_jayp112,0,0,0,1,0,0,0,0,0,0,0,0
dev_Emekaer,0,2,0,0,0,0,0,0,0,0,0,0
dev_gotjoshua,0,0,0,0,0,0,0,0,0,0,1,0
dev_nextlevelbeard,0,0,0,0,0,0,0,0,1,0,0,0
dev_174n,0,0,0,0,0,0,0,0,0,0,0,1
dev_smykhailov,0,0,0,0,0,0,0,0,0,0,0,3
dev_tdekoning,2,0,0,0,0,0,0,1,0,0,0,0
dev_isaacs,0,0,0,0,0,0,0,0,0,1,0,0
dev_lisonge,0,0,0,0,0,0,0,0,0,0,1,0
dev_bobbylight,0,0,0,0,0,0,1,0,0,0,0,0
dev_callum-bennett,0,0,0,1,0,0,0,0,0,0,0,0
dev_lexos-development,1,0,0,0,0,0,0,0,0,0,0,0
dev_huy-lv,0,1,0,0,0,0,0,0,0,0,0,0
dev_jdbruijn,0,2,0,0,0,0,0,0,0,0,0,0
dev_Stanzilla,0,1,0,0,0,0,1,0,0,0,0,0
dev_phavor,0,0,0,0,0,1,0,0,0,0,0,0
dev_Martinfx,1,0,1,0,0,0,0,0,0,0,0,0
dev_jgravois,0,1,0,0,0,0,0,0,0,0,0,0
dev_olore,0,0,0,1,0,0,0,0,0,0,0,0
dev_maxburke,0,0,0,0,7,3,0,0,0,0,0,0
dev_vivrkerror404,0,0,0,0,0,2,0,0,0,0,0,0
dev_adrianwix,0,0,0,0,0,1,0,0,0,0,0,0
dev_jasan-s,0,0,1,0,0,0,0,0,0,0,0,0
dev_laoshaw,0,0,0,2,1,0,0,0,0,0,0,0
dev_FelipeDania,0,0,0,0,0,1,0,0,0,0,0,0
dev_xeno,0,0,0,0,0,0,0,0,0,0,1,0
dev_mcmillion,0,0,0,0,0,1,0,0,0,0,0,0
dev_neeshurajput,0,1,0,0,0,0,0,0,0,0,0,0
dev_mrcampbell,1,0,0,0,0,0,0,0,0,0,0,0
dev_DeanIfalo,0,0,0,1,0,0,0,0,0,0,0,0
dev_gigadeplex,0,0,0,0,0,0,0,1,0,0,0,0
dev_AlokMishra051298,0,0,0,0,0,0,0,0,3,0,0,0
dev_jennieandersson,0,0,0,2,0,0,0,0,0,0,0,0
dev_P0lip,0,0,0,0,0,0,0,0,1,0,0,0
dev_nchase,0,0,0,0,0,0,0,0,0,0,0,3
dev_GLObus303,0,0,1,0,0,0,0,0,0,0,0,0
dev_Pyroboomka,0,0,0,0,0,0,0,0,0,0,0,1
dev_viljark,0,0,0,0,1,0,0,0,0,0,0,0
dev_TabithaLarkin,0,0,0,2,0,0,0,0,0,0,0,0
dev_davidmaxwaterman,0,0,0,0,0,0,1,2,0,0,0,0
dev_danimalweb,0,0,0,0,0,0,0,0,1,0,0,0
dev_Saeris,0,0,0,1,0,0,0,0,0,0,0,0
dev_cbix,0,0,0,1,0,0,0,0,0,0,0,0
